#,Name,Address,Phone,Website,Rating,Type,Status,emails
71,South Ridge Gym - YMCA of South Eastern Alberta,"644 Spruce Way SE, Medicine Hat",(403) 528-1631,https://medicinehatymca.ca/,4.3,"point of interest, establishment",OPERATIONAL,None found
72,Desert Blume Gate Park and playground.,"28 Desert Blume Gate, Desert Blume",,N/A,3,"point of interest, establishment",OPERATIONAL,No email found
73,Salta Gymnastics Club,"528 18 St SW, Medicine Hat",(403) 526-2900,http://www.saltagym.com/,4.4,"gym, health, point of interest, establishment",OPERATIONAL,in403.526.2900info@saltagym.com
74,Gas City CrossTraining,"566 18 St SW, Medicine Hat",(403) 502-2673,http://www.gascitycrosstraining.com/,4.8,"gym, health, point of interest, establishment",OPERATIONAL,"Emailgascitycrosstraining@gmail.com, gascitycrosstraining@gmail.comFirst"
75,Badlands Training Centre,"12 Gehring Rd SE #100, Medicine Hat",(403) 529-2625,http://www.badlandstraining.com/,4.8,"gym, health, point of interest, establishment",OPERATIONAL,None found
76,Desert Blume park,"12118 Range Rd 61A, Cypress County",,N/A,4,"point of interest, establishment",OPERATIONAL,No email found
77,Verix Athletics,"951 S Railway St, Medicine Hat",(403) 957-1051,http://www.verixathletics.com/,5,"gym, health, point of interest, establishment",OPERATIONAL,Usadmin@verixathletics.ca
78,Moose Recreation Centre,"602 Division Ave S, Medicine Hat",(403) 527-4170,https://facilities.medicinehat.ca/Home/Detail?Id=e61b0783-a89b-4ff1-b1ed-d21b706c3eab,4.1,"point of interest, establishment",OPERATIONAL,None found
79,F45 Training South Medicine Hat,"1751 Strachan Rd SE Suite103, Medicine Hat",(403) 580-7799,http://www.f45training.ca/southmedicinehat/home,5,"gym, health, point of interest, establishment",OPERATIONAL,None found
80,Kollektiv Cycle/ Sweat Kollektiv,"317 6 Ave SE, Medicine Hat",(403) 529-0525,N/A,5,"gym, health, point of interest, establishment",OPERATIONAL,No email found
81,Domain CrossFit of Medicine Hat,"221 N Railway St SE #1, Medicine Hat",(587) 801-7415,http://www.domaincrossfit.com/,5,"gym, health, point of interest, establishment",OPERATIONAL,None found
82,Cultural Centre,"399 College Dr SE, Medicine Hat",,N/A,,"gym, health, point of interest, establishment",OPERATIONAL,No email found
83,Grizzly Grappling Academy,"202A Maple Ave SE #140, Medicine Hat",(403) 581-1211,N/A,4,"gym, health, point of interest, establishment",OPERATIONAL,No email found
84,Seven Persons Community Hall,"Mildred St, Seven Persons",,N/A,4.6,"point of interest, establishment",OPERATIONAL,No email found
85,Lions Park Outdoor Fitness,"219 Woodman Ave SE, Medicine Hat",,N/A,,"gym, health, point of interest, establishment",OPERATIONAL,No email found
86,Crew Training Inc.,"420 Macleod Trail SE, Medicine Hat",,N/A,5,"health, point of interest, establishment",OPERATIONAL,No email found
87,Crestwood Recreation Centre,"1701 21 St SE, Medicine Hat",(403) 529-8320,https://www.medicinehat.ca/en/parks-recreation-and-culture/crestwood-recreation-centre.aspx,4.5,"point of interest, establishment",OPERATIONAL,None found
88,Rebel Power Yoga,"722 10 St SE, Medicine Hat",(403) 866-9907,http://www.rebelpoweryoga.com/,4.8,"gym, health, point of interest, establishment",OPERATIONAL,None found
89,S.A.C.A. Kickboxing,"602 Clay Ave SE #3, Medicine Hat",(403) 580-6085,http://www.sacakickboxing.ca/,4.7,"gym, health, point of interest, establishment",OPERATIONAL,infoSACAkickboxing@gmail.com
90,Twist & Flip Gymnastics,"218 3 St NE, Redcliff",(403) 487-5867,http://twistandflip.ca/,4.6,"gym, health, point of interest, establishment",OPERATIONAL,Canadatwistandflip@shaw.ca
91,Blue Dragon Martial Arts & Fitness,"3030 13 Ave SE, Medicine Hat",(403) 866-4035,http://www.bluedragons.ca/,5,"gym, health, point of interest, establishment",OPERATIONAL,"bluedragonsmh@gmail.comHomeAbout, bluedragonsmh@gmail.com"
92,Big Marble Go Centre,"2000 Division Ave N, Medicine Hat",(403) 502-8566,https://www.medicinehat.ca/bigmarblegocentre,4.5,"point of interest, establishment",OPERATIONAL,None found
93,TONE Fitness and Dance Ltd,"1029 S Railway St, Medicine Hat",(403) 458-0991,http://toneit.ca/,5,"gym, health, point of interest, establishment",OPERATIONAL,None found
94,Yoga You4ia,"1235 Southview Dr SE #104, Medicine Hat",(587) 289-3500,http://www.yogayou4ia.com/,5,"gym, health, point of interest, establishment",OPERATIONAL,"Info@YogaYou4ia.com, info@yogayou4ia.com"
95,Half Moon Yoga,"546 2 St SE, Medicine Hat",(403) 581-7844,http://halfmoonmedicinehat.com/,5,"gym, health, point of interest, establishment",OPERATIONAL,None found
96,"The Pound * Personal Training * Medicine Hat, AB","291 12 St NE, Medicine Hat",(780) 841-9786,https://www.facebook.com/thepoundmh,5,"health, point of interest, establishment",OPERATIONAL,None found
97,Studio On Second,"659 2 St SE, Medicine Hat",(403) 866-0212,https://get.mndbdy.ly/59BMWkTFdNb,5,"gym, health, point of interest, establishment",OPERATIONAL,None found
98,Ultimate Cheer Fusion - Cheerleading Facility,"1245 Brier Park Dr NW, Medicine Hat",(403) 866-1954,http://www.ultimatecheerfusion.com/,4.7,"gym, health, point of interest, establishment",OPERATIONAL,None found
99,YogaRevolution,"617 2 St SE, Medicine Hat",(403) 580-8393,https://www.yogarevolution.ca/,5,"gym, health, point of interest, establishment",OPERATIONAL,None found
100,Nirvana 101,"616 Kingsway Ave SE #101, Medicine Hat",(403) 487-2266,http://www.awakennirvana101.com/,4.1,"spa, gym, clothing store, health, store, point of interest, establishment",OPERATIONAL,None found
101,Spartan Fitness Equipment,"40 Strachan Ct SE Unit 1, Medicine Hat",(403) 528-1070,http://www.spartanfitness.ca/,4.9,"store, health, point of interest, establishment",OPERATIONAL,None found
102,Southland Green - Broadstreet Properties Ltd.,"280 Southlands Blvd SE, Medicine Hat",(866) 736-8515,https://www.broadstreet.ca/residential/southland-green,4.6,"point of interest, establishment",OPERATIONAL,None found
103,Ronin Jiu-Jitsu,"826 11 St SE, Medicine Hat",(403) 866-5554,http://roninbjj.ca/,5,"health, point of interest, establishment",OPERATIONAL,roninbjj@protonmail.com
104,Caloric Responsibility,"40 Strachan Ct SE #1, Medicine Hat",(855) 884-8809,http://caloricresponsibilitytrainingandconditioning.com/,,"gym, health, point of interest, establishment",OPERATIONAL,None found
105,Aria Tenille Hirsch Memorial Bench,"280 Ross Glen Dr SE, Medicine Hat",,N/A,4.5,"park, point of interest, establishment",OPERATIONAL,No email found
